JobRole,JobTitle,Company,ApplyURL
Data Analyst,Data Analyst,Taskify AI,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4334694366
Data Analyst,Data Analyst,Newsweek,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4319536475
Content Writer,Content Research Lead,Content Research Lead,https://in.indeed.com/q-content-writer-l-delhi-delhi-jobs.html?vjk=791e863b25b790e6
Data Scientist,Junior Data Scientist,TechCorp Inc.,https://www.google.com/search?q=example+junior+data+scientist+job
Data Scientist,AI Research Intern,Future AI,https://www.google.com/search?q=example+ai+research+intern+job
Data Scientist,Data Analyst (Python),Quantum Analytics,https://www.google.com/search?q=example+data+analyst+python+job
Frontend Developer,Frontend Developer,WebWorks,https://www.google.com/search?q=example+frontend+developer+job
Frontend Developer,React Developer,AppCo,https://www.google.com/search?q=example+react+developer+job
Backend Developer,Junior Backend Developer,ServerSide Inc,https://www.google.com/search?q=example+junior+backend+job
Full Stack Developer,Junior Full Stack Developer,Dev Solutions,https://www.google.com/search?q=example+junior+full+stack+job
Project Manager,Associate Project Manager,BizSolutions,https://www.google.com/search?q=example+associate+project+manager+job
Project Manager,IT Project Coordinator,SysAdmin Group,https://www.google.com/search?q=example+it+project+coordinator+job
UI/UX Designer,UI Designer (Mobile),CreativeApp,https://www.google.com/search?q=example+ui+designer+job
UI/UX Designer,Product Designer Intern,New Wave Labs,https://www.google.com/search?q=example+product+designer+job
Business Analyst,Business Analyst,KENT RO SYSTEMS,https://www.ambitionbox.com/reviews/kent-ro-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri&cvid=bcb98465db754391b686b338f2ad89d7
Business Analyst,Business Analyst,SVR Global,https://www.naukri.com/job-listings-business-analyst-svr-global-solutions-new-delhi-0-to-4-years-250923500828?src=seo_srp&sid=17633897532692107&xp=6&px=1
Business Analyst,Business Analyst,Orcapod,https://www.naukri.com/job-listings-business-analyst-orcapod-consulting-services-faridabad-gurugram-greater-noida-0-to-2-years-131125011870?src=seo_srp&sid=17633897532692107&xp=1&px=1
Cloud Engineer,Cloud Data Engineer,Lemongrass,https://www.linkedin.com/jobs/view/4313725779/?trk=li_li-JobRapido-IN_IN_careers_jobsgtm_d75534d0-39ad-4328-8e18-52229fb7e6b2_job-dist&utm_medium=jobdist&mcid=6853763504395177984&utm_source=li-JobRapido-IN&ePP=CwEAAAGa2ADe8EpuJZ1erF2zqCnNz4L5y5cr3RijC83aaVkkzJa2-FqXNnWHQChtaUEnZBzAHFZa12Y9VAL1jGFtGahPl2Xiuw0G7J9dhw&ccuid=67224688306
Cloud Engineer,AWS Cloud Engineer,Credila Financial Services Limited,https://www.linkedin.com/jobs/view/4347412198/?trk=li_Jooble-LI-IN_IN_careers_jobsgtm_d75534d0-39ad-4328-8e18-52229fb7e6b2_job-dist&utm_medium=jobdist&mcid=6853763504395177984&utm_source=Jooble-LI-IN&ePP=CwEAAAGa2AEJ8n2wq1B8zIXnl6VjeUfVDaMoSkzyBgJQl3eC-K80DlKQcwUbwYH6Jp17vUf91AaD08xo36ApqT4MlxYM-7kjypLXNVB3Aw&ccuid=67224742802
Data Scientist,Data Scientist I A - GBS IND,Bank of America,https://careers.bankofamerica.com/en-us/job-detail/25046872/data-scientist-i-a-gbs-ind-hyderabad-india?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Scientist,Data and Applied Scientist,NetApp,https://careers.netapp.com/job/bengaluru/data-and-applied-scientist/27600/86956179632?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Scientist,"Data Scientist - Cloud Management, SQL, Building cloud data pipelines, Python, Power BI, GCP",UPS,https://www.jobs-ups.com/imea/en/job/UPBUPSGLOBALR25041766EXTERNALENIMEA/Data-Scientist-Cloud-Management-SQL-Building-cloud-data-pipelines-Python-Power-BI-GCP?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Scientist,Data Scientist (Gen Ai),Whatjobs,https://www.recruit.net/job/data-scientist-gen-ai-jobs/6527AF6DF211AC74?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Scientist,"Manager II Data Science, Tech",Uber,https://www.uber.com/global/en/careers/list/150822/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Engineer,Data Engineer - Fully Remote (Global Data Platform & Analytics Projects),SkillsCapital,https://www.recruit.net/job/data-engineer-global-data-platform-jobs/DA672D30B9DA7B5C?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
